"160";"57785402P";"Camiseta Ferrari Puma Big Shield Tee - Vermelha - Masculina - P";"0.0000"
"161";"57785402M";"Camiseta Ferrari Puma Big Shield Tee - Vermelha - Masculina - M";"0.0000"
"162";"57785402G";"Camiseta Ferrari Puma Big Shield Tee - Vermelha - Masculina - G";"0.0000"
"163";"85177406";"Camiseta Puma Active Tee Peacoat - Azul Marinho - Feminina";"0.0000"
"164";"85177406P";"Camiseta Puma Active Tee Peacoat - Azul Marinho - Feminina - P";"0.0000"
"165";"85177406M";"Camiseta Puma Active Tee Peacoat - Azul Marinho - Feminina - M";"0.0000"
"166";"85177406G";"Camiseta Puma Active Tee Peacoat - Azul Marinho - Feminina - G";"0.0000"
"167";"2195802";"Boné Mercedes Puma AMG Petronas Motorsport  - Prata - Masculino";"0.0000"
"168";"7585102";"Bolsa Puma Active Training Large Shopper - Verde - Feminina";"0.0000"
"169";"07578101";"Bolsa Puma Classic Large Shopper - Preta - Feminina";"0.0000"
"170";"07585101";"Bolsa Puma Active Training Large Shopper - Preta - Feminina";"0.0000"
"171";"7595302";"Bolsa Puma WMN Core Up Large Shopper - Bege - Feminina";"0.0000"
"172";"7575901";"Mochila Puma Deck Backpack II - Preta - Masculina";"0.0000"
"173";"51734707";"Camiseta Puma A.C.E SS Block Tee Asphalt - Cinza - Masculina";"0.0000"
"174";"51734707P";"Camiseta Puma A.C.E SS Block Tee Asphalt - Cinza - Masculina - P";"1.0000"
"175";"51734707M";"Camiseta Puma A.C.E SS Block Tee Asphalt - Cinza - Masculina - M";"0.0000"
"176";"51734707G";"Camiseta Puma A.C.E SS Block Tee Asphalt - Cinza - Masculina - G";"0.0000"
"177";"51734707GG";"Camiseta Puma A.C.E SS Block Tee Asphalt - Cinza - Masculina - GG";"0.0000"
"178";"51735003";"Bermuda Puma A.C.E Woven 9 - Preta - Masculina";"0.0000"
"179";"51735003P";"Bermuda Puma A.C.E Woven 9 - Preta - Masculina -P";"1.0000"
"180";"51735003M";"Bermuda Puma A.C.E Woven 9 - Preta - Masculina -M";"0.0000"
"181";"51735003G";"Bermuda Puma A.C.E Woven 9 - Preta - Masculina -G";"0.0000"
"182";"51735003GG";"Bermuda Puma A.C.E Woven 9 - Preta - Masculina -GG";"0.0000"
"183";"85170801";"Calça Puma Active Tricot Pants - Preta - Masculina";"0.0000"
"184";"85170801M";"Calça Puma Active Tricot Pants - Preta - Masculina - M";"0.0000"
"185";"85170801G";"Calça Puma Active Tricot Pants - Preta - Masculina - G";"0.0000"
"186";"51732501P";"Calça Legging Puma Energy Tech Tight Preta - Masculina - P";"0.0000"
"188";"NEW001P";"Camiseta New Balance Accelerate SS -  Preta - Masculina - P";"3.0000"
"189";"NEW001M";"Camiseta New Balance Accelerate SS -  Preta - Masculina - M";"4.0000"
"190";"NEW001G";"Camiseta New Balance Accelerate SS -  Preta - Masculina - G";"4.0000"
"191";"NEW001GG";"Camiseta New Balance Accelerate SS -  Preta - Masculina - GG";"2.0000"
"193";"MT73061AMP";"Camiseta New Balance Accelerate SS - Azul Marinho - Masculina - P";"3.0000"
"194";"MT73061AMM";"Camiseta New Balance Accelerate SS - Azul Marinho - Masculina - M";"6.0000"
"195";"MT73061AMG";"Camiseta New Balance Accelerate SS - Azul Marinho - Masculina - G";"5.0000"
"196";"MT73061AMGG";"Camiseta New Balance Accelerate SS - Azul Marinho - Masculina - GG";"3.0000"
"197";"125540";"Tênis Diadora Core Masculino Cinza e Verde.";"0.0000"
"198";"12554039";"Tênis Diadora Core Masculino Cinza e Verde - 39";"0.0000"
"199";"12554040";"Tênis Diadora Core Masculino Cinza e Verde - 40";"0.0000"
"200";"12554042";"Tênis Diadora Core Masculino Cinza e Verde - 42";"2.0000"
"202";"30645001";"Tênis Puma BMW MMS Smash V2 - Preto";"0.0000"
"203";"3064500139";"Tênis Puma BMW MMS Smash V2 - Preto - 39";"0.0000"
"204";"3064500140";"Tênis Puma BMW MMS Smash V2 - Preto - 40";"0.0000"
"205";"3064500141";"Tênis Puma BMW MMS Smash V2 - Preto - 41";"0.0000"
"206";"30642201";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Preto";"0.0000"
"207";"3064220139";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Preto - 39";"0.0000"
"208";"3064220140";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Preto - 40";"0.0000"
"209";"3064220141";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Preto - 41";"0.0000"
"210";"3064220142";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Preto - 42";"0.0000"
"211";"30642202";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 - Branco - Masculino";"0.0000"
"212";"3064220239";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Branco - 39";"0.0000"
"213";"3064220240";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Branco - 40";"0.0000"
"214";"3064220241";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Branco - 41";"0.0000"
"215";"3064220242";"Tênis Puma Ferrari Sf Drift Cat 5 Ultra 2 Masculino - Branco - 42";"0.0000"
"218";"ML373BSS";"Tênis Casual New Balance ML373BSS Masculino - Preto";"0.0000"
"219";"ML373BSS38";"Tênis Casual New Balance ML373BSS Masculino - Preto - 38";"0.0000"
"220";"ML373BSS39";"Tênis Casual New Balance ML373BSS Masculino - Preto - 39";"0.0000"
"221";"ML373BSS40";"Tênis Casual New Balance ML373BSS Masculino - Preto - 40";"0.0000"
"222";"ML373BSS41";"Tênis Casual New Balance ML373BSS Masculino - Preto - 41";"0.0000"
"223";"ML373BSS42";"Tênis Casual New Balance ML373BSS Masculino - Preto - 42";"0.0000"
"224";"ML373BSS43";"Tênis Casual New Balance ML373BSS Masculino - Preto - 43";"0.0000"
"225";"1Z21A009100";"Tênis Asics Blocker Masculino - Branco e Preto";"0.0000"
"226";"1Z21A00910038";"Tênis Asics Blocker Masculino - Branco e Preto - 38";"1.0000"
"227";"1Z21A00910039";"Tênis Asics Blocker Masculino - Branco e Preto - 39";"2.0000"
"228";"1Z21A00910040";"Tênis Asics Blocker Masculino - Branco e Preto - 40";"0.0000"
"229";"1Z21A00910041";"Tênis Asics Blocker Masculino - Branco e Preto - 41";"0.0000"
"230";"1Z21A00910042";"Tênis Asics Blocker Masculino - Branco e Preto - 42";"0.0000"
"231";"1Z21A00910043";"Tênis Asics Blocker Masculino - Branco e Preto - 43";"0.0000"
"232";"WCSTLRN4";"Tênis New Balance Coast V4 - Bordô - Feminino";"0.0000"
"233";"WCSTLRN434";"Tênis New Balance Coast V4 Feminino - Bordô - 34";"1.0000"
"234";"WCSTLRN435";"Tênis New Balance Coast V4 Feminino - Bordô - 35";"1.0000"
"235";"WCSTLRN436";"Tênis New Balance Coast V4 Feminino - Bordô - 36";"1.0000"
"236";"WCSTLRN437";"Tênis New Balance Coast V4 Feminino - Bordô - 37";"-1.0000"
"237";"WCSTLRN438";"Tênis New Balance Coast V4 Feminino - Bordô - 38";"0.0000"
"238";"WCSTLRN439";"Tênis New Balance Coast V4 Feminino - Bordô - 39";"1.0000"
"239";"1Z22A009020";"Tênis Asics Blocker Feminino - Gelo e Cinza";"0.0000"
"240";"1Z22A00902034";"Tênis Asics Blocker Feminino - Gelo e Cinza - 34";"2.0000"
"241";"1Z22A00902035";"Tênis Asics Blocker Feminino - Gelo e Cinza - 35";"4.0000"
"242";"1Z22A00902036";"Tênis Asics Blocker Feminino - Gelo e Cinza - 36";"6.0000"
"243";"1Z22A00902037";"Tênis Asics Blocker Feminino - Gelo e Cinza - 37";"6.0000"
"244";"1Z22A00902038";"Tênis Asics Blocker Feminino - Gelo e Cinza - 38";"4.0000"
"245";"1Z22A00902039";"Tênis Asics Blocker Feminino - Gelo e Cinza - 39";"2.0000"
"246";"10506901";"Chuteira Puma One 3 IL LTH FG Campo Verde";"0.0000"
"247";"1050690139";"Chuteira Puma One 3 IL LTH FG Campo Verde - 39";"1.0000"
"248";"1050690140";"Chuteira Puma One 3 IL LTH FG Campo Verde - 40";"0.0000"
"249";"1050690141";"Chuteira Puma One 3 IL LTH FG Campo Verde - 41";"0.0000"
"250";"1050690142";"Chuteira Puma One 3 IL LTH FG Campo Verde - 42";"1.0000"
"251";"MARISSG1";"Tênis New Balance Running Course - Azul - Masculino";"0.0000"
"252";"1Z22A009021W";"Tênis Asics Blocker Feminino Cinza Roxo";"0.0000"
"253";"MARISSG139";"Tênis New Balance Running Course Masculino - Azul - 39 ";"0.0000"
"254";"1Z22A009021W34";"Tênis Asics Blocker Feminino Cinza Roxo - 34";"1.0000"
"255";"MARISSG140";"Tênis New Balance Running Course Masculino - Azul - 40";"0.0000"
"256";"1Z22A009021W35";"Tênis Asics Blocker Feminino Cinza Roxo - 35";"4.0000"
"257";"1Z22A009021W36";"Tênis Asics Blocker Feminino Cinza Roxo - 36";"7.0000"
"258";"MARISSG141";"Tênis New Balance Running Course Masculino - Azul - 41";"0.0000"
"259";"1Z22A009021W37";"Tênis Asics Blocker Feminino Cinza Roxo - 37";"7.0000"
"260";"MARISSG142";"Tênis New Balance Running Course Masculino - Azul - 42";"0.0000"
"261";"MARISSG143";"Tênis New Balance Running Course Masculino - Azul - 43";"0.0000"
"262";"1Z22A009021W38";"Tênis Asics Blocker Feminino Cinza Roxo - 38";"3.0000"
"263";"19234501";"Puma Emergence Wn's - Preto";"0.0000"
